ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,3232,167.0,458.0,166.36170212765958,460.97872340425533,3232,3.246600402796522e-07,2.3508712301262689e-07,1.5707963267948966,-1.2944690518198296
1,3233,278.14285714285717,460.85714285714283,279.5272727272727,463.69999999999999,3233,9.7102866592732342e-07,4.4314817195452733e-07,1.5707963267948966,-2.2236809193647544
1,3234,389.55555555555554,459.88888888888891,389.20454545454544,461.29545454545456,3234,1.5605817845260555e-06,3.1993871211816573e-07,1.5707963267948966,-1.717592634524735
1,3235,463.71428571428572,459.57142857142856,465.44444444444446,460.6825396825397,3235,1.6954468770159615e-06,8.3038792841243608e-07,1.5707963267948966,-2.5520480312181864
1,3236,562.54901960784309,461.86274509803923,563.00934579439252,463.99065420560748,3236,7.1303840622166604e-06,2.0551525167401716e-06,1.5707963267948966,-1.8298649997457908
1,3237,694.46875,459.40625,695.57142857142856,459.54761904761904,3237,1.0899301352245467e-05,3.2903259740570901e-06,1.5707963267948966,-2.7985687131690899
1,3238,746.98431372549021,471.49019607843138,747.48888888888894,468.71111111111111,3238,2.1023541274997922e-05,7.7079462583820612e-06,1.5707963267948966,1.7844017023087781
1,3239,nan,nan,965.5,458.72727272727275,3239,0.0,0.0,0.0,0.0
1,3240,128.69999999999999,463.5,128.0632911392405,464.25316455696202,3240,1.931521758625779e-06,5.0582190533522836e-07,1.5707963267948966,-1.3280907560349005
1,3241,250.61538461538461,469.07692307692309,250.90000000000001,465.58571428571429,3241,1.4169091757919107e-06,4.9007682418389506e-07,1.5707963267948966,1.533313890103235
1,3242,260.0,462.0,259.07894736842104,461.86842105263156,3242,1.2046596231429201e-06,2.2466612506093426e-07,1.5707963267948966,-2.9385474363362909
