Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,14,Neighbors,cell,1,98,cell,1,108
MeasureObjectNeighbors,14,Neighbors,cell,1,98,cell,1,127
MeasureObjectNeighbors,14,Neighbors,cell,1,98,cell,1,146
MeasureObjectNeighbors,14,Neighbors,cell,1,99,cell,1,75
MeasureObjectNeighbors,14,Neighbors,cell,1,99,cell,1,80
MeasureObjectNeighbors,14,Neighbors,cell,1,99,cell,1,120
MeasureObjectNeighbors,14,Neighbors,cell,1,99,cell,1,133
MeasureObjectNeighbors,14,Neighbors,cell,1,99,cell,1,136
MeasureObjectNeighbors,14,Neighbors,cell,1,100,cell,1,96
MeasureObjectNeighbors,14,Neighbors,cell,1,100,cell,1,110
MeasureObjectNeighbors,14,Neighbors,cell,1,100,cell,1,161
MeasureObjectNeighbors,14,Neighbors,cell,1,101,cell,1,35
MeasureObjectNeighbors,14,Neighbors,cell,1,101,cell,1,55
MeasureObjectNeighbors,14,Neighbors,cell,1,101,cell,1,78
MeasureObjectNeighbors,14,Neighbors,cell,1,101,cell,1,106
MeasureObjectNeighbors,14,Neighbors,cell,1,101,cell,1,117
MeasureObjectNeighbors,14,Neighbors,cell,1,101,cell,1,142
MeasureObjectNeighbors,14,Neighbors,cell,1,102,cell,1,72
MeasureObjectNeighbors,14,Neighbors,cell,1,102,cell,1,158
MeasureObjectNeighbors,14,Neighbors,cell,1,103,cell,1,59
MeasureObjectNeighbors,14,Neighbors,cell,1,103,cell,1,67
MeasureObjectNeighbors,14,Neighbors,cell,1,103,cell,1,98
MeasureObjectNeighbors,14,Neighbors,cell,1,103,cell,1,119
MeasureObjectNeighbors,14,Neighbors,cell,1,103,cell,1,126
MeasureObjectNeighbors,14,Neighbors,cell,1,103,cell,1,127
MeasureObjectNeighbors,14,Neighbors,cell,1,104,cell,1,84
MeasureObjectNeighbors,14,Neighbors,cell,1,104,cell,1,85
MeasureObjectNeighbors,14,Neighbors,cell,1,104,cell,1,112
MeasureObjectNeighbors,14,Neighbors,cell,1,104,cell,1,122
MeasureObjectNeighbors,14,Neighbors,cell,1,104,cell,1,135
MeasureObjectNeighbors,14,Neighbors,cell,1,105,cell,1,58
MeasureObjectNeighbors,14,Neighbors,cell,1,105,cell,1,87
MeasureObjectNeighbors,14,Neighbors,cell,1,105,cell,1,90
MeasureObjectNeighbors,14,Neighbors,cell,1,105,cell,1,151
MeasureObjectNeighbors,14,Neighbors,cell,1,106,cell,1,55
MeasureObjectNeighbors,14,Neighbors,cell,1,106,cell,1,101
MeasureObjectNeighbors,14,Neighbors,cell,1,106,cell,1,142
MeasureObjectNeighbors,14,Neighbors,cell,1,106,cell,1,164
MeasureObjectNeighbors,14,Neighbors,cell,1,106,cell,1,181
MeasureObjectNeighbors,14,Neighbors,cell,1,107,cell,1,113
